first_name,last_name,email,gender,employed_date,department,salary,bonus
Winny,Falconar,wfalconar0@networksolutions.com,Agender,7/4/2018,Business Development,168032,4
Aurora,Bruni,abruni1@webmd.com,Female,4/7/2015,Sales,151191,
Gayleen,Rawlingson,grawlingson2@php.net,Female,1/16/2015,Marketing,175249,5
Wainwright,Pykerman,wpykerman3@ameblo.jp,Male,,Research and Development,153498,4
Moira,Jobes,mjobes4@bloglovin.com,Female,,Business Development,81654,
My,Blanking,mblanking5@angelfire.com,Male,2/29/2016,Human Resources,141460,
Michell,Bonnick,,Female,12/29/2012,Product Management,65732,8
Erna,St Leger,estleger7@icq.com,Female,11/26/2012,,131907,
Artair,Choudhury,,Male,1/8/2018,Services,82355,7
Milzie,Balleine,mballeine9@skype.com,Female,3/27/2019,Sales,177981,4
Kyrstin,Dabbs,kdabbsa@opera.com,Agender,,Legal,164811,3
Arvin,Betton,abettonb@virginia.edu,Male,6/6/2013,Research and Development,153168,2
Danny,Mapledoore,dmapledoorec@comsenz.com,Genderqueer,5/17/2019,Marketing,83817,
Griselda,Haith,ghaithd@marketwatch.com,Female,3/23/2017,Training,114890,2
Hew,St Clair,hstclaire@apple.com,Male,3/8/2015,Services,64503,
Bianka,Hillburn,bhillburnf@icq.com,Female,8/11/2015,Product Management,158210,
Freeland,Poskitt,fposkittg@printfriendly.com,Male,6/8/2017,Marketing,77613,10
Oralle,Wayne,,Female,10/25/2014,Marketing,102886,
Vick,Geffen,vgeffeni@dropbox.com,Male,4/30/2014,Training,130857,2
Bartolomeo,Gutcher,bgutcherj@house.gov,Male,3/29/2019,Marketing,164783,4
Tully,Gavigan,tgavigank@bizjournals.com,Male,10/10/2013,Research and Development,160555,5
Abbey,Manville,amanvillel@infoseek.co.jp,Female,8/16/2013,Services,153666,
Malanie,Benedicte,mbenedictem@europa.eu,Female,12/18/2013,Sales,176805,2
Lew,Croydon,lcroydonn@tmall.com,Male,11/16/2017,,154006,7
Dougie,De Ambrosi,ddeambrosio@microsoft.com,Male,10/15/2018,Training,119779,7
Pamela,Spinola,pspinolap@i2i.jp,Female,9/4/2016,Training,117579,
Nevile,Bartoszek,nbartoszekq@webmd.com,Male,1/2/2017,Marketing,142580,4
Englebert,Janca,ejancar@nationalgeographic.com,Male,10/24/2017,Research and Development,156477,11
Townie,Bromage,tbromages@marketwatch.com,Male,,Services,99251,
Gun,Richten,grichtent@marketwatch.com,Male,10/13/2016,Sales,161114,2
Waring,Shalders,wshaldersu@google.pl,Male,,Sales,84824,2
Harri,Scad,,Female,3/11/2017,Sales,91071,
Terrijo,Lohden,tlohdenw@slashdot.org,Female,2/14/2019,Marketing,141184,11
Miran,Yves,,Female,,Legal,160533,4
Abigael,Knellen,aknelleny@newyorker.com,Female,5/4/2016,Marketing,147953,
Fredelia,Hentzeler,fhentzelerz@printfriendly.com,Female,1/3/2014,Engineering,77103,7
Timothea,Troughton,ttroughton10@zimbio.com,Female,5/21/2013,Training,167799,
Arlina,Kroch,akroch11@webnode.com,Female,11/27/2013,Accounting,85840,
Jermain,Agnolo,jagnolo12@cam.ac.uk,Male,12/9/2018,Support,162890,2
Marylou,Bimrose,mbimrose13@mysql.com,Female,9/28/2016,Legal,139932,2
Allison,Hinckesman,ahinckesman14@plala.or.jp,Female,1/15/2019,Services,95641,
Garry,Ranking,granking15@weather.com,Male,3/28/2016,Human Resources,123170,10
Lillis,Daelman,ldaelman16@mayoclinic.com,Female,11/21/2012,Services,120731,2
Bartholomeus,Rubbert,brubbert17@youku.com,Male,1/6/2015,Product Management,70923,7
Gareth,Fidoe,gfidoe18@blog.com,Male,5/5/2019,Product Management,179605,
Broddy,Foat,bfoat19@mysql.com,Male,11/23/2016,Research and Development,150131,10
Neils,Ipplett,nipplett1a@nature.com,Male,11/16/2018,Human Resources,136358,10
